f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,class
2.96293,4.72307,7.17695,6.35284,4.25424,6.82784,11.6696,6.6057,3.35978,8.25984,NB
7.38006,22.1066,1.86674,2.70969,5.91607,32.6665,55.916,25.5991,1.72947,3.83684,NB
1.56326,10.288,3.70228,6.14514,3.9119,9.44542,20.245,12.6242,2.61208,6.00248,B
0.854342,0.623183,4.87519,0.943019,1.09289,1.23954,0.522677,1.08464,2.21059,2.61979,NB
0.79981,0.227407,0.589207,0.506126,0.282866,0.378555,0.195133,0.366983,4.04084,0.97543,NB
3.072,0.325804,3.18282,0.730541,0.576982,0.789426,0.331029,1.06017,1.46777,2.06496,B
1.94499,0.297379,2.1696,0.611171,0.540016,0.761727,0.320575,0.786976,1.52141,1.67568,B
2.70845,2.906,2.79369,4.57662,5.12051,3.58243,0.832798,2.45063,2.84614,5.53266,NB
8.81609,16.6007,1.49046,7.31496,12.4477,8.78294,2.24054,10.3816,2.75512,2.85917,B
1.49055,1.07362,9.163,1.26054,2.07328,2.32904,2.06632,1.73705,2.55844,2.79429,B
2.41761,3.00221,6.13987,6.23825,2.95241,4.18027,8.16421,4.12652,1.80424,3.87487,B
7.23464,7.06711,1.68869,4.70077,4.70104,8.78987,17.8302,9.35808,1.44664,4.01806,B
2.59938,0.229594,2.24486,0.570586,0.416263,0.583991,0.254369,0.587174,3.54183,1.55935,NB
15.3782,12.4418,6.45742,9.28933,7.50719,15.253,27.6148,15.0953,2.2431,8.23746,NB
6.90745,11.976,8.21954,8.56356,6.67949,15.0822,31.4512,17.0443,3.17773,7.49918,B
3.7991,3.64726,4.4108,3.24446,3.41207,7.38183,7.59624,4.95428,2.94367,3.65339,B
4.21718,1.24418,4.07489,4.51933,3.15492,1.06411,0.498285,2.32015,3.30614,6.29555,NB
0.618035,0.12901,0.534141,0.491802,0.221792,0.397021,0.205586,0.350673,5.23066,1.13651,NB
6.12582,0.916188,4.70448,2.11761,2.05078,1.32264,0.494801,1.75744,3.44268,2.42292,B
17.305,7.52412,6.0793,8.65428,10.2282,9.5539,14.29,10.2674,2.04317,6.29779,B
25.2849,28.9157,6.99707,13.5413,13.1613,32.288,64.561,32.7186,2.23498,7.16807,B
0.399905,0.273326,0.794788,0.725766,0.305366,0.436262,0.184679,0.371061,5.70691,1.37366,NB
0.890697,0.365163,1.4464,0.885721,0.731272,1.26724,0.508739,1.06425,2.46416,1.54369,NB
1.09065,0.74782,5.0569,1.60433,1.26968,1.31802,0.675995,1.31706,4.50084,2.66454,B
3.16288,0.299565,1.13253,0.768739,0.4693,1.05488,0.487832,0.782898,3.75476,1.50118,B
1.69051,0.223034,0.675478,0.620721,0.289295,0.43857,0.202102,0.481156,4.67313,1.1119,B
6.81656,6.68665,1.93649,6.22153,7.04432,5.10819,1.56106,6.0063,1.80586,5.07626,B
8.07081,9.46582,2.46329,10.2323,12.2838,6.23231,1.49486,7.27035,2.16346,5.39171,B
3.01746,4.11519,2.1953,5.14482,5.85661,6.49776,6.67633,5.89212,1.87901,6.98686,B
2.39943,0.325804,2.4743,0.680406,0.607518,0.655547,0.223009,0.815519,1.25809,1.80768,NB
1.59962,5.05325,1.24633,5.79658,8.41847,7.74653,1.96526,4.80748,2.63646,4.81003,NB
12.9242,17.7246,3.25808,2.97946,9.68494,5.24207,1.36941,8.38761,4.82917,3.33794,B
1.87228,5.14946,6.68319,2.14149,5.99643,3.14155,0.662057,3.08674,4.04409,2.58176,NB
13.215,38.8254,2.84141,9.54239,26.6038,15.9224,7.69032,20.3105,2.14883,9.4478,NB
5.03517,10.8237,1.93282,12.646,4.15459,7.96813,15.419,11.2949,2.66734,8.19719,B
5.54414,18.1445,1.71256,16.0791,13.6579,13.0648,8.81582,13.8027,3.50282,10.8483,NB
7.38006,1.85206,7.73128,1.44198,4.45514,2.78377,0.630697,2.66267,4.07009,2.73165,NB
10.8701,2.68515,14.1006,3.91054,5.15266,4.77118,6.68329,5.61892,3.44755,5.29104,B
